covidID,dateID,province,totalcases,numdeaths,recovery
1696,131,QC,1350213,18177,1099129
1697,131,NL,55678,354,25162
1698,131,NB,91157,913,65138
1699,131,NS,144284,866,43018
1700,131,PE,57327,105,41242
1701,131,YT,4989,32,4489
1702,131,NT,11511,22,11327
1703,131,NU,3531,7,3435
1704,132,BC,403162,5795,307963
1705,132,AB,633939,5811,523679
1706,132,SK,156184,1999,113023
1707,132,MB,156434,2505,129338
1708,132,ON,1626476,17272,1587996
1709,132,QC,1350854,18182,1099129
1710,132,NL,55712,354,25162
1711,132,NB,91157,913,65138
1712,132,NS,144284,866,43018
1713,132,PE,57327,105,41242
1714,132,YT,4989,32,4489
1715,132,NT,11511,22,11327
1716,132,NU,3531,7,3435
1717,133,BC,403306,5800,307963
1718,133,AB,634005,5812,523679
1719,133,SK,156228,2002,113023
1720,133,MB,156472,2505,129338
1721,133,ON,1627049,17285,1587996
1722,133,QC,1351498,18190,1099129
1723,133,NL,55755,354,25162
1724,133,NB,91157,913,65138
1725,133,NS,144284,866,43018
1726,133,PE,57327,105,41242
1727,133,YT,4989,32,4489
1728,133,NT,11511,22,11327
1729,133,NU,3531,7,3435
1730,134,BC,403453,5809,307963
1731,134,AB,634104,5815,523679
1732,134,SK,156281,2002,113023
1733,134,MB,156488,2506,129338
1734,134,ON,1627709,17294,1587996
1735,134,QC,1352161,18200,1099129
1736,134,NL,55780,356,25162
1737,134,NB,91265,928,65138
1738,134,NS,144284,866,43018
1739,134,PE,57368,109,41242
1740,134,YT,4989,32,4489
1741,134,NT,11511,22,11327
1742,134,NU,3531,7,3435
1743,135,BC,403605,5816,307963
1744,135,AB,634263,5817,523679
1745,135,SK,156358,2003,113023
1746,135,MB,156524,2506,129338
1747,135,ON,1628415,17306,1587996
1748,135,QC,1352877,18214,1099129
1749,135,NL,55802,358,25162
1750,135,NB,91265,928,65138
1751,135,NS,144284,866,43018
1752,135,PE,57368,109,41242
1753,135,YT,4989,32,4489
1754,135,NT,11511,22,11327
1755,135,NU,3531,7,3435
1756,136,BC,403741,5833,307963
1757,136,AB,634414,5825,523679
1758,136,SK,156399,2004,113023
1759,136,MB,156577,2507,129338
1760,136,ON,1629093,17323,1587996
1761,136,QC,1353814,18230,1099129
1762,136,NL,55823,359,25162
